ad,ed,silwa,mateo,writein_rep,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein_dem
56,4,0,0,0,0,8,4,2,8,0,3,2,68,1,1,4,1,0
56,5,0,0,0,0,5,5,1,41,3,0,10,61,1,3,2,0,0
56,11,0,0,0,1,7,3,1,56,3,3,10,39,0,2,14,1,1
56,15,0,0,0,2,6,2,4,124,4,1,33,99,0,4,10,0,0
56,16,0,0,0,1,11,3,5,107,3,3,34,84,2,4,12,1,0
56,17,0,0,0,1,7,1,1,41,1,3,12,43,0,3,9,1,0
56,18,0,0,0,0,4,1,5,71,3,0,16,92,0,3,9,0,1
56,19,0,0,0,1,5,7,3,117,3,0,18,107,1,0,1,1,0
56,20,0,0,0,2,4,3,0,48,1,3,8,60,1,0,1,0,0
56,21,0,0,0,0,6,2,5,82,3,0,15,92,2,2,5,1,0
56,26,0,0,0,2,7,1,4,83,0,0,18,66,1,2,7,0,0
56,27,0,0,0,1,5,3,4,87,3,2,18,85,0,5,2,0,0
56,29,0,0,0,1,4,1,3,37,3,1,7,86,3,0,1,0,0
56,30,0,0,0,3,9,5,6,31,1,0,6,145,0,0,3,1,0
56,32,0,0,0,2,12,4,2,99,2,0,19,128,1,5,9,2,0
56,33,0,0,0,0,9,8,3,92,1,1,18,111,1,2,3,0,1
56,34,0,0,0,0,6,2,1,81,1,0,21,73,0,0,6,0,0
56,39,0,0,0,0,5,5,1,94,5,1,18,73,0,0,7,1,0
56,40,0,0,0,0,8,8,4,126,4,0,23,86,0,5,3,0,0
56,42,0,0,0,1,8,15,8,108,6,0,28,106,0,6,8,1,0
56,43,0,0,0,0,3,5,4,78,3,2,16,126,1,2,10,1,1
56,44,0,0,0,0,3,6,3,64,1,2,18,66,1,1,7,0,0
56,45,0,0,0,0,8,1,2,91,2,0,22,120,0,3,11,5,0
56,46,0,0,0,1,5,12,7,64,2,2,22,133,1,5,3,1,0
56,48,0,0,0,0,8,5,7,100,4,0,24,105,0,4,8,1,0
56,49,0,0,0,0,3,15,6,88,1,1,40,115,1,2,9,0,0
56,50,0,0,0,0,6,8,7,104,0,2,26,105,1,1,2,0,1
56,51,0,0,0,0,5,3,9,45,1,0,9,115,0,1,3,1,0
56,52,0,0,0,0,5,14,3,118,2,4,27,112,0,1,7,0,0
56,53,0,0,0,1,8,5,8,140,2,1,37,110,0,5,7,0,1
56,55,0,0,0,0,3,7,3,102,8,4,26,127,1,4,4,0,0
56,56,0,0,0,0,1,3,3,51,0,0,18,56,2,1,1,0,0
56,59,0,0,0,3,7,1,0,34,1,0,12,75,0,5,4,0,0
56,60,0,0,0,0,5,1,3,26,1,0,0,99,1,1,1,1,0
56,63,0,0,0,0,0,2,0,11,0,0,4,102,0,1,8,1,0
56,64,0,0,0,4,1,1,1,20,1,0,1,82,2,2,4,0,0
56,65,0,0,0,1,1,2,3,61,4,1,5,84,1,2,8,1,0
56,68,0,0,0,1,3,1,4,43,0,0,9,76,1,3,4,0,0
56,72,0,0,0,1,9,7,4,86,0,1,11,114,1,6,6,1,0
56,74,0,0,0,1,8,4,1,37,0,0,4,93,0,0,4,0,0
56,75,0,0,0,0,1,1,1,17,0,0,4,49,0,0,2,0,0
56,81,0,0,0,0,2,1,1,14,0,0,7,70,0,2,4,1,0
56,83,0,0,0,3,2,4,1,14,0,0,0,106,1,0,0,1,0
56,85,0,0,0,1,5,1,1,106,7,0,17,56,0,3,6,2,0
56,88,0,0,0,1,3,1,1,96,3,1,25,107,0,1,2,1,0
57,1,0,0,0,4,3,2,2,19,0,1,5,58,0,0,16,0,0
57,2,0,0,0,2,5,3,2,16,0,1,4,114,2,2,12,0,0
57,4,0,0,0,0,3,4,0,50,0,0,34,10,0,2,6,0,0
57,14,0,0,0,0,6,3,1,108,2,2,76,29,0,0,16,0,1
57,15,0,0,0,0,3,10,6,141,0,1,90,30,0,2,16,1,0
57,18,0,0,0,0,8,12,4,132,4,1,67,143,0,7,21,0,0
57,24,0,0,0,1,9,7,8,133,1,4,110,57,0,4,17,0,0
57,29,0,0,0,0,12,19,5,159,5,1,117,80,0,5,10,1,0
57,31,0,0,0,1,6,15,5,110,3,4,35,216,0,9,23,0,0
57,33,0,0,0,2,0,2,1,13,0,0,0,48,0,1,4,0,0
