ad,ed,silwa,mateo,writein
39,23,0,1,0
39,24,3,1,2
39,25,2,0,1
39,26,0,1,0
39,27,0,1,0
39,28,0,0,1
39,29,7,2,0
39,30,8,3,0
39,31,6,5,0
39,32,4,3,0
39,33,3,1,0
39,34,7,5,0
39,35,8,4,0
39,36,0,1,0
39,37,5,3,0
39,38,2,0,0
39,39,0,0,0
39,40,2,0,0
39,41,5,0,1
39,42,2,0,0
39,43,6,2,0
39,44,3,2,0
39,45,6,2,0
39,46,5,3,0
39,47,10,5,0
39,48,10,2,1
39,49,3,2,0
39,50,2,0,0
39,51,6,3,0
39,52,4,2,1
39,53,1,1,0
39,54,0,0,1
39,55,5,2,0
39,56,11,1,1
40,1,43,12,0
40,2,19,12,0
40,3,1,4,1
40,4,30,10,0
40,5,32,15,2
40,6,44,21,0
40,7,32,9,1
40,8,3,3,0
40,9,25,10,3
40,10,0,0,0
40,11,3,1,0
40,12,1,1,1
40,13,28,12,0
40,14,12,4,0
40,15,9,7,1
